name,rating,cast,description,trailer_url,genres,languages
"Vikram","8.4","Kamal Haasan, Fahadh Faasil, Vijay Sethupathi","A special investigator uncovers a series of murders and discovers a sinister conspiracy far deeper than he imagined.","https://www.youtube.com/watch?v=OKBMcl-63Tc","Action, Thriller","Tamil, Hindi, Telugu"
"Jailer","7.9","Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff","A retired jailer goes on a dangerous manhunt after his son is targeted by a powerful drug cartel.","https://www.youtube.com/watch?v=xen3ewtbRVY","Action, Comedy","Tamil, Telugu, Hindi"
"Leo","7.5","Vijay, Trisha, Sanjay Dutt, Arjun Sarja","A mild-mannered cafe owner is forced to confront his dark past when a ruthless gang threatens his family.","https://www.youtube.com/watch?v=Po3jStA673E","Action, Thriller","Tamil, Telugu, Hindi"
"KGF Chapter 2","8.3","Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty","Rocky's reign over Kolar Gold Fields is challenged by Adheera, a ruthless adversary. The saga of power and ambition continues.","https://www.youtube.com/watch?v=Qah9sSIXJqk","Action, Drama","Kannada, Hindi, Tamil, Telugu"
"RRR","8.0","Jr NTR, Ram Charan, Alia Bhatt, Ajay Devgn","A fictional tale of two legendary Indian revolutionaries, Alluri Sitarama Raju and Komaram Bheem, and their journey away from home.","https://www.youtube.com/watch?v=NgBoKQy3pt0","Action, Drama, Adventure","Telugu, Hindi, Tamil"
"Interstellar","9.0","Matthew McConaughey, Anne Hathaway, Jessica Chastain","A team of explorers travel through a wormhole in space to ensure humanity's survival. Christopher Nolan's masterpiece.","https://www.youtube.com/watch?v=zSWdZVtXT7E","Sci-Fi, Drama, Adventure","English, Hindi, Tamil"
"The Dark Knight","9.2","Christian Bale, Heath Ledger, Aaron Eckhart","Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice when the Joker wreaks havoc.","https://www.youtube.com/watch?v=EXeTwQWrcwY","Action, Thriller, Drama","English, Hindi"
"Ponniyin Selvan","7.8","Vikram, Aishwarya Rai, Jayam Ravi, Karthi, Trisha","An epic historical drama set in the Chola dynasty. A tale of palace intrigue, war, and loyalty unfolds in ancient South India.","https://www.youtube.com/watch?v=D4qAQYlgZv4","Drama, Action, Adventure","Tamil, Hindi, Telugu, Malayalam"
"GOAT (The Greatest of All Time)","7.0","Vijay, Prashanth, Prabhu Deva","A former special anti-terrorist squad officer is called back for a mission that connects to his past.","","Action, Sci-Fi","Tamil, Telugu, Hindi"
"Master","7.8","Vijay, Vijay Sethupathi, Malavika Mohanan","An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the children for criminal activities.","","Action, Thriller","Tamil, Telugu, Hindi"
"Bigil","7.0","Vijay, Nayanthara, Jackie Shroff","A former football player struggles to fulfill his friend's dream by coaching a women's football team.","","Sports, Action, Drama","Tamil, Telugu"
"Theri","7.5","Vijay, Samantha, Amy Jackson","When his daughter's life is endangered by a local gang, a former police officer must confront his past.","","Action, Drama","Tamil, Telugu"
"Vettaiyan","7.5","Rajinikanth, Amitabh Bachchan, Fahadh Faasil","An encounter specialist cop faces moral and legal dilemmas while solving a high-profile murder case.","","Action, Drama","Tamil, Telugu, Hindi"
"Petta","7.6","Rajinikanth, Vijay Sethupathi, Simran","A hostel warden with a dark past is forced to confront a powerful politician and his gangster son.","","Action, Drama","Tamil, Telugu"
"Sivaji","8.5","Rajinikanth, Shriya Saran, Vivek","A software engineer returns to India to serve the nation but faces fierce opposition from corrupt politicians.","","Action, Drama","Tamil, Telugu"
"Enthiran","8.1","Rajinikanth, Aishwarya Rai, Danny Denzongpa","A brilliant scientist creates a humanoid robot with artificial intelligence that soon develops human emotions.","","Sci-Fi, Action","Tamil, Telugu, Hindi"
"Thunivu","6.1","Ajith Kumar, Manju Warrier, Samuthirakani","A mysterious mastermind and his team hijack a bank, but their motives go far beyond a simple robbery.","","Action, Thriller","Tamil, Telugu, Hindi"
"Valimai","6.0","Ajith Kumar, Huma Qureshi, Kartikeya","A righteous police officer is assigned to track down a gang of reckless bikers involved in theft and murder.","","Action, Thriller","Tamil, Telugu, Hindi"
"Viswasam","6.6","Ajith Kumar, Nayanthara, Jagapathi Babu","A village ruffian tries to settle a long-standing dispute with his estranged wife and protect his daughter.","","Action, Drama","Tamil, Telugu"
"Mankatha","7.6","Ajith Kumar, Arjun Sarja, Trisha","A suspended police officer gets involved in a high-stakes heist involving illegal betting money.","","Action, Thriller","Tamil, Telugu"
"Indian 2","5.5","Kamal Haasan, Siddharth, Rakul Preet Singh","An aging freedom fighter returns to root out corruption in the modern Indian system.","","Action, Drama","Tamil, Telugu, Hindi"
"Kanguva","6.5","Suriya, Bobby Deol, Disha Patani","A tribal warrior's epic saga of bravery and vengeance spanning across two different eras.","","Action, Fantasy","Tamil, Telugu, Hindi"
"Soorarai Pottru","8.7","Suriya, Aparna Balamurali, Paresh Rawal","The inspiring true story of a man who sets out to make air travel affordable for the common people.","","Drama","Tamil, Telugu"
"24","8.0","Suriya, Samantha, Nithya Menen","A scientist invents a time-traveling watch, leading to a bitter battle with his evil twin brother.","","Sci-Fi, Thriller","Tamil, Telugu"
"Ayan","7.5","Suriya, Tamannaah, Prabhu","A young man involved in a smuggling ring seeks revenge after his rival kills his best friend.","","Action, Thriller","Tamil, Telugu"
"Raayan","7.5","Dhanush, S. J. Suryah, Sundeep Kishan","A simple food truck owner gets dragged into the dark underworld to protect his family.","","Action, Drama","Tamil, Telugu, Hindi"
"Captain Miller","7.0","Dhanush, Shiva Rajkumar, Priyanka Arul Mohan","A former British Indian Army soldier turns against his commanding officers to protect his people.","","Action, Adventure","Tamil, Telugu, Hindi"
"Asuran","8.4","Dhanush, Manju Warrier, Prakash Raj","A farmer goes on the run with his family to protect his son who murdered a wealthy, upper-caste landlord.","","Action, Drama","Tamil, Telugu"
"Thiruchitrambalam","7.9","Dhanush, Nithya Menen, Raashii Khanna","A delivery boy navigates his complicated love life and family relationships with the help of his childhood best friend.","","Romance, Comedy, Drama","Tamil, Telugu"
"Amaran","8.5","Sivakarthikeyan, Sai Pallavi, Bhuvan Arora","The heroic true story of Major Mukund Varadarajan and his ultimate sacrifice for the nation.","","Action, Drama","Tamil, Telugu, Hindi"
"Maaveeran","7.5","Sivakarthikeyan, Aditi Shankar, Mysskin","A cowardly comic book artist starts hearing a voice that dictates his life and forces him to fight injustice.","","Action, Fantasy","Tamil, Telugu"
